,neighborhood,factor_percentage_difference
0,archipelbuurt,24.695
1,belgisch_park,28.457
2,benoordenhout,25.778
3,bezuidenhout,24.409
4,binckhorst,23.355
5,bohemen_en_meer_en_bos,27.689
6,bomen_en_bloemenbuurt,25.611
7,bouwlust,29.690999999999995
8,centrum,23.786
9,duindorp,38.486
10,duinoord,23.083
11,forepark,30.767000000000003
12,geuzen_en_statenkwartier,27.448000000000004
13,groente_en_fruitmarkt,29.589
14,hoornwijk,30.669
15,kijkduin_en_ockenburgh,30.451
16,kraayenstein_en_vroondaal,30.161
17,laakkwartier_en_spoorwijk,29.437
18,leidschenveen,30.468
19,leyenburg,31.043000000000003
20,loosduinen,32.27
21,mariahoeve_en_marlot,28.342
22,mobiel_stembureau,29.255
23,moerwijk,29.746
24,morgenstond,30.158999999999995
25,regentessekwartier,22.837000000000003
26,rustenburg_en_oostbroek,30.324
27,scheveningen,30.175
28,schildersbuurt,27.883
29,stationsbuurt,24.108
30,transvaalkwartier,28.093
31,valkenboskwartier,25.817
32,van_stolkprk_en_schevbosjes,23.936
33,vogelwijk,25.516
34,vruchtenbuurt,25.525
35,waldeck,30.598
36,wateringse_veld,30.926
37,westbroekpark_en_duttendel,25.663
38,willemspark,24.967
39,ypenburg,29.982
40,zeeheldenkwartier,24.178
41,zorgvliet,22.38
42,zuiderpark,26.872000000000003
